user_id,items,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"[57, 14, 82, 84, 430, 22, 409, 61, 379, 441, 382, 41, 5, 383, 398]",57,14,82,84,430,22,409,61,379,441,382,41,5,383,398
1,"[55, 798, 812, 169, 14, 88, 170, 171, 198, 23, 404, 19, 406, 57, 61]",55,798,812,169,14,88,170,171,198,23,404,19,406,57,61
2,"[57, 61, 23, 14, 409, 84, 82, 425, 398, 22, 430, 403, 384, 382, 16]",57,61,23,14,409,84,82,425,398,22,430,403,384,382,16
3,"[61, 57, 84, 398, 16, 430, 14, 22, 383, 382, 399, 41, 43, 23, 402]",61,57,84,398,16,430,14,22,383,382,399,41,43,23,402
4,"[57, 61, 398, 84, 54, 22, 712, 17, 100, 388, 420, 383, 425, 16, 14]",57,61,398,84,54,22,712,17,100,388,420,383,425,16,14
5,"[712, 29, 23, 398, 88, 57, 14, 376, 386, 84, 92, 19, 440, 409, 389]",712,29,23,398,88,57,14,376,386,84,92,19,440,409,389
6,"[61, 9, 398, 57, 54, 22, 55, 23, 88, 84, 409, 425, 396, 395, 29]",61,9,398,57,54,22,55,23,88,84,409,425,396,395,29
7,"[57, 84, 398, 22, 61, 23, 82, 430, 402, 14, 383, 15, 29, 400, 395]",57,84,398,22,61,23,82,430,402,14,383,15,29,400,395
8,"[57, 84, 14, 383, 61, 712, 398, 420, 409, 382, 425, 92, 395, 16, 22]",57,84,14,383,61,712,398,420,409,382,425,92,395,16,22
9,"[54, 61, 398, 23, 9, 14, 409, 57, 84, 712, 31, 394, 425, 22, 430]",54,61,398,23,9,14,409,57,84,712,31,394,425,22,430
10,"[14, 409, 17, 11, 398, 21, 10, 403, 169, 19, 9, 22, 404, 23, 57]",14,409,17,11,398,21,10,403,169,19,9,22,404,23,57
11,"[55, 23, 19, 21, 14, 9, 57, 17, 425, 89, 409, 398, 16, 808, 22]",55,23,19,21,14,9,57,17,425,89,409,398,16,808,22
12,"[14, 383, 57, 395, 27, 92, 84, 420, 29, 67, 398, 379, 382, 88, 388]",14,383,57,395,27,92,84,420,29,67,398,379,382,88,388
13,"[57, 61, 22, 398, 84, 23, 19, 409, 432, 430, 403, 16, 14, 17, 402]",57,61,22,398,84,23,19,409,432,430,403,16,14,17,402
14,"[169, 19, 382, 55, 5, 440, 170, 383, 89, 57, 22, 84, 24, 82, 804]",169,19,382,55,5,440,170,383,89,57,22,84,24,82,804
15,"[57, 84, 398, 22, 61, 17, 430, 100, 382, 14, 5, 402, 409, 393, 440]",57,84,398,22,61,17,430,100,382,14,5,402,409,393,440
16,"[57, 61, 14, 84, 23, 55, 430, 402, 420, 9, 41, 432, 382, 398, 22]",57,61,14,84,23,55,430,402,420,9,41,432,382,398,22
17,"[425, 54, 412, 383, 57, 61, 382, 21, 55, 84, 30, 432, 402, 14, 398]",425,54,412,383,57,61,382,21,55,84,30,432,402,14,398
18,"[61, 84, 398, 57, 420, 23, 29, 14, 42, 169, 89, 388, 19, 82, 22]",61,84,398,57,420,23,29,14,42,169,89,388,19,82,22
19,"[398, 57, 9, 23, 22, 432, 14, 61, 440, 19, 430, 409, 5, 41, 88]",398,57,9,23,22,432,14,61,440,19,430,409,5,41,88
20,"[89, 248, 170, 203, 14, 160, 376, 169, 231, 0, 198, 88, 172, 54, 171]",89,248,170,203,14,160,376,169,231,0,198,88,172,54,171
21,"[57, 61, 84, 14, 23, 409, 430, 398, 22, 420, 383, 382, 425, 9, 19]",57,61,84,14,23,409,430,398,22,420,383,382,425,9,19
22,"[425, 57, 14, 61, 23, 16, 55, 409, 17, 376, 798, 24, 400, 420, 169]",425,57,14,61,23,16,55,409,17,376,798,24,400,420,169
23,"[55, 798, 808, 84, 425, 420, 54, 799, 812, 169, 384, 432, 57, 382, 804]",55,798,808,84,425,420,54,799,812,169,384,432,57,382,804
24,"[57, 55, 61, 14, 430, 84, 398, 420, 17, 380, 383, 19, 25, 403, 425]",57,55,61,14,430,84,398,420,17,380,383,19,25,403,425
25,"[14, 57, 17, 84, 409, 22, 19, 61, 42, 23, 379, 41, 16, 402, 382]",14,57,17,84,409,22,19,61,42,23,379,41,16,402,382
