user_id,items,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,"[57, 14, 430, 82, 61, 441, 379, 84, 17, 19, 23, 22, 20, 398, 405, 440, 409, 420]",57,14,430,82,61,441,379,84,17,19,23,22,20,398,405,440,409,420
1,"[55, 812, 88, 798, 169, 14, 404, 23, 406, 231, 19, 104, 89, 86, 82, 421, 204, 198]",55,812,88,798,169,14,404,23,406,231,19,104,89,86,82,421,204,198
2,"[61, 57, 23, 398, 430, 403, 22, 396, 82, 382, 84, 393, 14, 17, 409, 420, 380, 431]",61,57,23,398,430,403,22,396,82,382,84,393,14,17,409,420,380,431
3,"[57, 61, 712, 398, 22, 84, 382, 430, 383, 100, 41, 19, 14, 15, 43, 402, 23, 64]",57,61,712,398,22,84,382,430,383,100,41,19,14,15,43,402,23,64
4,"[57, 398, 61, 420, 22, 84, 17, 14, 712, 425, 388, 29, 100, 54, 16, 19, 383, 55]",57,398,61,420,22,84,17,14,712,425,388,29,100,54,16,19,383,55
5,"[712, 23, 19, 88, 57, 731, 398, 84, 392, 61, 402, 29, 9, 434, 421, 41, 384, 11]",712,23,19,88,57,731,398,84,392,61,402,29,9,434,421,41,384,11
6,"[57, 61, 9, 398, 22, 409, 430, 23, 14, 84, 420, 88, 19, 396, 42, 17, 15, 54]",57,61,9,398,22,409,430,23,14,84,420,88,19,396,42,17,15,54
7,"[57, 398, 84, 22, 61, 430, 23, 29, 82, 402, 14, 420, 383, 55, 41, 17, 15, 409]",57,398,84,22,61,430,23,29,82,402,14,420,383,55,41,17,15,409
8,"[84, 14, 398, 57, 61, 22, 29, 712, 17, 82, 382, 23, 395, 409, 30, 383, 16, 388]",84,14,398,57,61,22,29,712,17,82,382,23,395,409,30,383,16,388
9,"[54, 61, 398, 57, 712, 31, 23, 9, 394, 14, 84, 430, 55, 25, 420, 425, 412, 82]",54,61,398,57,712,31,23,9,394,14,84,430,55,25,420,425,412,82
10,"[14, 409, 17, 21, 11, 10, 61, 403, 57, 23, 84, 398, 22, 425, 9, 402, 404, 16]",14,409,17,21,11,10,61,403,57,23,84,398,22,425,9,402,404,16
11,"[55, 23, 21, 169, 19, 9, 89, 402, 425, 812, 54, 379, 808, 440, 384, 398, 24, 22]",55,23,21,169,19,9,89,402,425,812,54,379,808,440,384,398,24,22
12,"[57, 14, 22, 383, 19, 84, 395, 27, 382, 420, 29, 388, 379, 17, 61, 5, 92, 380]",57,14,22,383,19,84,395,27,382,420,29,388,379,17,61,5,92,380
13,"[57, 61, 398, 402, 84, 22, 41, 430, 21, 23, 403, 17, 43, 14, 409, 42, 16, 425]",57,61,398,402,84,22,41,430,21,23,403,17,43,14,409,42,16,425
14,"[169, 19, 84, 22, 14, 394, 170, 430, 41, 440, 57, 804, 382, 398, 23, 82, 55, 383]",169,19,84,22,14,394,170,430,41,440,57,804,382,398,23,82,55,383
15,"[57, 84, 61, 22, 398, 430, 17, 440, 14, 393, 169, 100, 23, 402, 409, 383, 16, 82]",57,84,61,22,398,430,17,440,14,393,169,100,23,402,409,383,16,82
16,"[57, 61, 84, 14, 55, 430, 23, 22, 420, 398, 9, 41, 425, 402, 17, 432, 409, 383]",57,61,84,14,55,430,23,22,420,398,9,41,425,402,17,432,409,383
17,"[54, 425, 412, 21, 383, 432, 14, 61, 394, 55, 41, 437, 391, 402, 67, 42, 441, 57]",54,425,412,21,383,432,14,61,394,55,41,437,391,402,67,42,441,57
18,"[61, 398, 57, 84, 14, 420, 425, 22, 403, 388, 395, 82, 15, 23, 17, 29, 430, 382]",61,398,57,84,14,420,425,22,403,388,395,82,15,23,17,29,430,382
19,"[398, 57, 432, 9, 22, 14, 61, 440, 5, 430, 798, 88, 382, 402, 19, 23, 17, 0]",398,57,432,9,22,14,61,440,5,430,798,88,382,402,19,23,17,0
20,"[248, 170, 0, 89, 14, 203, 712, 57, 54, 42, 713, 43, 92, 160, 199, 380, 804, 88]",248,170,0,89,14,203,712,57,54,42,713,43,92,160,199,380,804,88
21,"[57, 61, 14, 84, 409, 420, 402, 398, 23, 425, 22, 82, 17, 382, 42, 391, 384, 55]",57,61,14,84,409,420,402,398,23,425,22,82,17,382,42,391,384,55
22,"[57, 425, 61, 14, 798, 169, 55, 23, 17, 420, 712, 5, 808, 799, 16, 804, 409, 376]",57,425,61,14,798,169,55,23,17,420,712,5,808,799,16,804,409,376
23,"[84, 57, 54, 55, 383, 382, 19, 82, 420, 17, 5, 14, 169, 798, 440, 88, 22, 380]",84,57,54,55,383,382,19,82,420,17,5,14,169,798,440,88,22,380
24,"[61, 55, 57, 14, 398, 84, 22, 17, 430, 100, 409, 402, 19, 23, 99, 25, 403, 382]",61,55,57,14,398,84,22,17,430,100,409,402,19,23,99,25,403,382
25,"[14, 57, 17, 409, 19, 23, 22, 61, 402, 84, 42, 41, 384, 382, 379, 383, 16, 420]",14,57,17,409,19,23,22,61,402,84,42,41,384,382,379,383,16,420
26,"[57, 84, 22, 380, 420, 89, 376, 87, 382, 798, 5, 61, 383, 14, 398, 23, 430, 88]",57,84,22,380,420,89,376,87,382,798,5,61,383,14,398,23,430,88
27,"[398, 57, 430, 85, 82, 92, 14, 420, 86, 395, 433, 17, 30, 23, 396, 22, 61, 5]",398,57,430,85,82,92,14,420,86,395,433,17,30,23,396,22,61,5
28,"[400, 403, 712, 0, 89, 55, 61, 14, 84, 57, 23, 21, 171, 440, 396, 398, 425, 82]",400,403,712,0,89,55,61,14,84,57,23,21,171,440,396,398,425,82
