,user_id,items
0,0,"[57, 14, 84, 22, 82, 383, 409, 432, 379, 382, 61, 5, 430, 23, 41, 398, 441, 402]"
1,1,"[55, 798, 169, 812, 171, 14, 170, 88, 198, 441, 104, 806, 57, 61, 172, 808, 304, 63]"
2,2,"[57, 61, 23, 382, 82, 84, 403, 398, 22, 17, 383, 14, 15, 430, 19, 420, 431, 409]"
3,3,"[57, 61, 84, 398, 430, 382, 19, 41, 383, 22, 14, 16, 42, 43, 402, 23, 15, 17]"
4,4,"[57, 398, 61, 84, 22, 420, 17, 14, 430, 388, 16, 712, 100, 29, 54, 23, 425, 169]"
5,5,"[712, 731, 732, 23, 19, 398, 57, 88, 61, 724, 84, 402, 392, 55, 41, 715, 799, 713]"
6,6,"[57, 61, 9, 22, 398, 88, 409, 14, 84, 23, 54, 42, 430, 420, 82, 19, 0, 17]"
7,7,"[398, 57, 84, 22, 23, 383, 14, 402, 61, 430, 420, 29, 395, 82, 400, 431, 396, 409]"
8,8,"[84, 57, 61, 14, 425, 398, 41, 712, 395, 22, 383, 89, 82, 30, 29, 420, 169, 388]"
9,9,"[54, 61, 14, 23, 712, 57, 9, 430, 434, 398, 55, 433, 22, 31, 84, 394, 425, 412]"
10,10,"[14, 409, 11, 398, 17, 21, 403, 89, 433, 61, 0, 23, 169, 10, 22, 57, 411, 15]"
11,11,"[55, 23, 21, 19, 425, 9, 441, 398, 169, 402, 89, 409, 14, 384, 17, 57, 61, 808]"
12,12,"[14, 57, 383, 395, 22, 388, 19, 84, 17, 420, 27, 398, 29, 379, 5, 61, 382, 67]"
13,13,"[61, 57, 22, 398, 84, 19, 23, 403, 14, 409, 17, 21, 16, 402, 42, 420, 425, 41]"
14,14,"[169, 19, 5, 84, 382, 22, 14, 57, 55, 394, 170, 440, 430, 23, 383, 61, 398, 0]"
15,15,"[84, 57, 22, 398, 61, 382, 17, 14, 440, 430, 5, 23, 402, 19, 379, 383, 169, 376]"
16,16,"[57, 61, 14, 23, 84, 430, 55, 420, 398, 22, 9, 402, 41, 432, 409, 425, 0, 440]"
17,17,"[54, 425, 61, 412, 57, 55, 383, 382, 84, 14, 23, 21, 398, 22, 393, 402, 41, 169]"
18,18,"[57, 398, 61, 14, 420, 84, 22, 23, 19, 17, 15, 388, 24, 409, 425, 382, 29, 42]"
19,19,"[398, 57, 9, 440, 432, 61, 22, 23, 430, 5, 17, 41, 14, 25, 84, 400, 712, 409]"
20,20,"[248, 170, 89, 14, 203, 54, 0, 376, 169, 160, 57, 231, 5, 88, 110, 61, 82, 712]"
21,21,"[57, 61, 23, 398, 14, 84, 22, 409, 420, 382, 440, 430, 425, 383, 402, 42, 54, 29]"
22,22,"[425, 14, 55, 57, 376, 23, 420, 61, 5, 400, 712, 24, 27, 84, 798, 17, 169, 409]"
23,23,"[84, 55, 57, 54, 21, 798, 808, 19, 14, 5, 420, 382, 440, 169, 22, 87, 376, 812]"
24,24,"[57, 55, 61, 14, 430, 84, 398, 383, 22, 425, 23, 25, 17, 420, 19, 0, 85, 432]"
25,25,"[14, 57, 409, 17, 61, 22, 84, 19, 23, 379, 402, 41, 398, 382, 380, 384, 16, 42]"
26,26,"[57, 22, 420, 61, 398, 430, 84, 23, 55, 14, 388, 25, 9, 17, 54, 443, 16, 89]"
27,27,"[57, 398, 433, 430, 92, 385, 420, 82, 85, 395, 396, 84, 61, 22, 5, 14, 86, 432]"
28,28,"[14, 57, 17, 376, 379, 5, 382, 15, 61, 102, 433, 84, 398, 23, 22, 55, 19, 383]"
29,29,"[57, 409, 17, 19, 14, 61, 398, 84, 23, 22, 402, 380, 16, 379, 382, 383, 100, 55]"
30,30,"[712, 57, 23, 22, 55, 398, 61, 84, 17, 420, 431, 430, 14, 382, 82, 409, 169, 5]"
31,31,"[84, 23, 82, 61, 57, 398, 87, 409, 17, 395, 392, 22, 396, 430, 16, 5, 14, 420]"
32,32,"[57, 61, 430, 22, 84, 17, 14, 23, 25, 431, 420, 5, 15, 9, 398, 24, 440, 82]"
33,33,"[14, 382, 383, 420, 798, 384, 61, 169, 804, 89, 432, 41, 157, 88, 92, 5, 84, 409]"
34,34,"[57, 23, 61, 420, 14, 398, 84, 17, 440, 443, 396, 26, 25, 430, 82, 431, 22, 409]"
35,35,"[61, 14, 398, 57, 22, 84, 17, 54, 9, 19, 420, 403, 396, 409, 23, 16, 388, 89]"
36,36,"[61, 57, 0, 84, 382, 14, 402, 23, 712, 42, 169, 441, 55, 398, 22, 409, 179, 425]"
37,37,"[57, 14, 22, 398, 61, 16, 19, 82, 23, 17, 402, 409, 380, 84, 420, 41, 430, 383]"
38,38,"[57, 22, 409, 61, 14, 9, 17, 84, 169, 55, 420, 804, 23, 382, 398, 380, 430, 54]"
39,39,"[15, 19, 26, 22, 57, 380, 14, 398, 394, 24, 17, 379, 61, 41, 393, 84, 0, 430]"
40,40,"[14, 398, 22, 57, 402, 84, 17, 23, 409, 396, 383, 19, 395, 42, 9, 382, 388, 425]"
41,41,"[61, 57, 84, 14, 23, 22, 398, 55, 396, 21, 420, 82, 383, 384, 400, 425, 402, 382]"
42,42,"[57, 61, 14, 425, 17, 55, 22, 23, 398, 420, 16, 396, 19, 84, 29, 409, 402, 42]"
43,43,"[14, 57, 169, 55, 22, 409, 16, 61, 100, 17, 84, 398, 382, 384, 402, 42, 379, 89]"
44,44,"[712, 715, 731, 55, 714, 713, 722, 799, 724, 172, 365, 169, 807, 203, 134, 61, 41, 57]"
45,45,"[23, 14, 57, 22, 84, 17, 24, 396, 409, 82, 430, 0, 61, 31, 16, 382, 19, 27]"
46,46,"[712, 713, 798, 799, 55, 804, 169, 808, 425, 146, 134, 383, 170, 382, 149, 88, 42, 89]"
47,47,"[61, 14, 57, 84, 398, 22, 409, 23, 29, 402, 19, 42, 82, 17, 396, 30, 420, 388]"
48,48,"[57, 14, 22, 61, 17, 23, 19, 432, 409, 398, 84, 430, 382, 16, 383, 376, 88, 89]"
49,49,"[57, 430, 382, 61, 14, 84, 383, 5, 432, 169, 420, 22, 87, 11, 17, 398, 804, 379]"
